"","Entity","Date","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","Code","PerCapita.Death","PerCapita.Infection","Death.Rate"
"146","Andorra",2020-04-04,16,439,77265,"AND",0.00020707953148256,0.00568174464505274,0.0364464692482916
"147","Andorra",2020-04-13,29,638,77265,"AND",0.00037533165081214,0.00825729631786708,0.0454545454545455
"148","Andorra",2020-03-28,3,267,77265,"AND",3.882741215298e-05,0.00345563968161522,0.0112359550561798
"149","Andorra",2020-04-05,17,466,77265,"AND",0.00022002200220022,0.00603119135442956,0.036480686695279
"150","Andorra",2020-04-10,25,583,77265,"AND",0.0003235617679415,0.00754546042839578,0.0428816466552316
"151","Andorra",2020-04-18,35,696,77265,"AND",0.0004529864751181,0.00900795961949136,0.0502873563218391
"152","Andorra",2020-03-22,0,88,77265,"AND",0,0.00113893742315408,0
"153","Andorra",2020-04-09,23,564,77265,"AND",0.00029767682650618,0.00729955348476024,0.0407801418439716
"154","Andorra",2020-03-25,0,164,77265,"AND",0,0.00212256519769624,0
"155","Andorra",2020-03-24,0,133,77265,"AND",0,0.00172134860544878,0
"156","Andorra",2020-04-02,14,390,77265,"AND",0.00018119459004724,0.0050475635798874,0.0358974358974359
"157","Andorra",2020-04-21,36,717,77265,"AND",0.00046592894583576,0.00927975150456222,0.0502092050209205
"158","Andorra",2020-04-12,28,622,77265,"AND",0.00036238918009448,0.00805021678638452,0.045016077170418
"159","Andorra",2020-04-11,26,601,77265,"AND",0.00033650423865916,0.00777842490131366,0.043261231281198
"160","Andorra",2020-04-01,12,376,77265,"AND",0.00015530964861192,0.00486636898984016,0.0319148936170213
"161","Andorra",2020-03-31,8,370,77265,"AND",0.00010353976574128,0.0047887141655342,0.0216216216216216
"162","Andorra",2020-04-20,36,713,77265,"AND",0.00046592894583576,0.00922798162169158,0.0504908835904628
"163","Andorra",2020-03-29,4,308,77265,"AND",5.176988287064e-05,0.00398628098103928,0.012987012987013
"164","Andorra",2020-03-30,6,334,77265,"AND",7.765482430596e-05,0.00432278521969844,0.0179640718562874
"165","Andorra",2020-04-19,35,704,77265,"AND",0.0004529864751181,0.00911149938523264,0.0497159090909091
"166","Angola",2020-03-30,2,7,32866268,"AGO",6.08526651094064e-08,2.12984327882922e-07,0.285714285714286
"167","Angola",2020-04-01,2,7,32866268,"AGO",6.08526651094064e-08,2.12984327882922e-07,0.285714285714286
"168","Angola",2020-04-15,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"169","Angola",2020-04-12,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"170","Angola",2020-04-14,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"171","Angola",2020-04-13,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"172","Angola",2020-04-22,2,24,32866268,"AGO",6.08526651094064e-08,7.30231981312877e-07,0.0833333333333333
"173","Angola",2020-04-03,2,8,32866268,"AGO",6.08526651094064e-08,2.43410660437626e-07,0.25
"174","Angola",2020-03-31,2,7,32866268,"AGO",6.08526651094064e-08,2.12984327882922e-07,0.285714285714286
"175","Angola",2020-04-04,2,8,32866268,"AGO",6.08526651094064e-08,2.43410660437626e-07,0.25
"176","Angola",2020-04-02,2,8,32866268,"AGO",6.08526651094064e-08,2.43410660437626e-07,0.25
"177","Angola",2020-03-29,0,4,32866268,"AGO",0,1.21705330218813e-07,0
"178","Angola",2020-04-20,2,24,32866268,"AGO",6.08526651094064e-08,7.30231981312877e-07,0.0833333333333333
"179","Angola",2020-03-23,0,2,32866268,"AGO",0,6.08526651094064e-08,0
"180","Angola",2020-03-24,0,2,32866268,"AGO",0,6.08526651094064e-08,0
"181","Angola",2020-04-21,2,24,32866268,"AGO",6.08526651094064e-08,7.30231981312877e-07,0.0833333333333333
"182","Angola",2020-04-11,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"183","Angola",2020-04-18,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"184","Angola",2020-04-19,2,24,32866268,"AGO",6.08526651094064e-08,7.30231981312877e-07,0.0833333333333333
"185","Angola",2020-03-26,0,2,32866268,"AGO",0,6.08526651094064e-08,0
"186","Angola",2020-03-28,0,4,32866268,"AGO",0,1.21705330218813e-07,0
"187","Angola",2020-03-25,0,2,32866268,"AGO",0,6.08526651094064e-08,0
"188","Angola",2020-04-10,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"189","Angola",2020-04-07,2,16,32866268,"AGO",6.08526651094064e-08,4.86821320875251e-07,0.125
"190","Angola",2020-04-17,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"191","Angola",2020-03-27,0,3,32866268,"AGO",0,9.12789976641096e-08,0
"192","Angola",2020-04-05,2,10,32866268,"AGO",6.08526651094064e-08,3.04263325547032e-07,0.2
"193","Angola",2020-04-08,2,17,32866268,"AGO",6.08526651094064e-08,5.17247653429954e-07,0.117647058823529
"194","Angola",2020-04-06,2,14,32866268,"AGO",6.08526651094064e-08,4.25968655765845e-07,0.142857142857143
"195","Angola",2020-04-09,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"196","Angola",2020-03-22,0,2,32866268,"AGO",0,6.08526651094064e-08,0
"197","Angola",2020-04-16,2,19,32866268,"AGO",6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"198","Anguilla",2020-04-09,0,3,15002,"AIA",0,0.000199973336888415,0
"199","Anguilla",2020-04-08,0,3,15002,"AIA",0,0.000199973336888415,0
"200","Anguilla",2020-04-07,0,3,15002,"AIA",0,0.000199973336888415,0
